,Date,MinTemp,MaxTemp,Rainfall_mm,Pressure9am,Cloud9am,Temp9am
2133,2015-01-01,11.4,33.5,0.0,1013.5,,21.0
2134,2015-01-02,15.5,39.6,0.0,1016.0,,25.6
2135,2015-01-03,17.1,38.3,0.0,1017.9,,29.2
2136,2015-01-04,26.0,33.1,0.0,1013.6,8.0,27.4
2137,2015-01-05,19.0,35.2,0.0,1017.4,8.0,25.6
2138,2015-01-06,20.5,36.1,0.0,1019.1,,27.3
2139,2015-01-07,20.3,36.5,0.0,1018.0,2.0,26.4
2140,2015-01-08,20.7,34.1,0.0,1012.4,,28.7
2141,2015-01-09,20.4,26.4,5.4,1009.0,7.0,20.8
2142,2015-01-10,19.7,21.7,7.0,1010.9,8.0,20.3
2143,2015-01-11,18.4,30.6,12.6,1012.5,8.0,20.8
2144,2015-01-12,17.6,33.1,0.2,1013.5,,23.6
2145,2015-01-13,18.1,27.0,0.0,1006.7,7.0,24.1
2146,2015-01-14,17.9,28.1,46.8,1000.4,8.0,18.3
2147,2015-01-15,13.5,28.3,0.4,1006.4,,18.5
2148,2015-01-16,11.4,28.4,0.0,1010.2,,17.7
2149,2015-01-17,15.8,27.6,0.0,1010.0,,19.9
2150,2015-01-18,12.1,28.0,0.0,1012.8,,19.1
2151,2015-01-19,14.7,28.6,0.0,1013.3,,18.8
2152,2015-01-20,14.4,31.1,0.0,1009.7,,23.0
2153,2015-01-21,18.1,28.8,8.4,1009.8,7.0,20.7
2154,2015-01-22,17.7,33.7,0.0,1012.7,,24.0
2155,2015-01-23,20.2,36.0,0.0,1007.6,2.0,26.2
2156,2015-01-24,20.1,30.8,15.8,1005.4,8.0,24.3
2157,2015-01-25,18.0,26.9,0.2,1005.6,,21.5
2158,2015-01-26,11.5,26.0,0.0,1012.8,,17.8
2159,2015-01-27,15.4,28.9,0.0,1012.4,8.0,19.3
2160,2015-01-28,16.6,27.5,0.0,1013.9,3.0,20.7
2161,2015-01-29,14.0,25.0,0.0,1016.2,,17.8
2162,2015-01-30,9.2,24.0,0.0,1012.8,,16.3
2163,2015-01-31,10.5,26.8,0.0,1009.4,,16.4
2164,2015-02-01,13.8,28.5,0.0,1009.4,8.0,19.1
2165,2015-02-02,16.9,29.0,0.0,1015.4,,20.3
2166,2015-02-03,13.6,29.8,0.0,1020.2,,20.2
2167,2015-02-04,15.2,29.5,0.0,1014.4,,20.4
2168,2015-02-05,15.0,31.4,0.0,1021.5,,20.4
2169,2015-02-06,15.7,33.1,0.0,1026.1,,22.4
2170,2015-02-07,16.9,33.5,0.0,1023.8,,24.1
2171,2015-02-08,19.6,38.8,0.2,1018.7,8.0,22.3
2172,2015-02-09,20.4,36.1,0.0,1019.9,,23.7
2173,2015-02-10,18.3,34.0,0.0,1021.8,,23.9
2174,2015-02-11,20.3,35.8,0.0,1020.5,,25.8
2175,2015-02-12,17.8,31.9,9.8,1021.4,,20.9
2176,2015-02-13,18.3,32.0,0.0,1022.9,,23.1
2177,2015-02-14,19.3,24.7,0.2,1019.6,8.0,22.4
2178,2015-02-15,16.9,30.9,10.6,1016.5,1.0,20.2
2179,2015-02-16,19.7,34.9,0.0,1015.4,2.0,22.6
2180,2015-02-17,20.5,33.9,0.0,1014.1,,25.2
2181,2015-02-18,19.7,28.2,0.0,1018.2,7.0,20.8
2182,2015-02-19,18.0,33.1,6.0,1018.6,,22.2
2183,2015-02-20,19.0,33.3,0.2,1016.6,,23.7
2184,2015-02-21,18.4,34.6,0.0,1015.4,,23.2
2185,2015-02-22,19.0,34.5,0.0,1015.9,,23.2
2186,2015-02-23,18.4,35.9,0.0,1014.6,,23.8
2187,2015-02-24,17.5,29.5,8.0,1014.4,,21.8
2188,2015-02-25,17.6,30.3,0.2,1014.3,1.0,21.6
2189,2015-02-26,18.0,29.8,0.0,1009.4,7.0,20.1
2190,2015-02-27,14.5,31.5,0.0,1009.5,,19.6
2191,2015-02-28,18.1,35.1,0.0,1008.4,8.0,20.7
2192,2015-03-01,19.3,28.6,1.4,1007.5,8.0,19.4
2193,2015-03-02,12.1,28.6,0.2,1017.4,,16.6
2194,2015-03-03,16.5,32.0,0.0,1014.5,8.0,19.8
2195,2015-03-04,12.7,30.4,0.0,1014.2,,17.6
2196,2015-03-05,15.1,23.4,0.0,1012.0,,15.7
2197,2015-03-06,11.2,22.3,0.0,1011.5,8.0,14.7
2198,2015-03-07,10.0,25.2,0.0,1012.6,,15.0
2199,2015-03-08,11.3,30.3,0.0,1013.0,1.0,16.2
2200,2015-03-09,10.9,29.5,0.0,1013.1,,17.6
2201,2015-03-10,12.6,30.0,0.0,1017.0,,17.1
2202,2015-03-11,9.3,31.7,0.0,1017.4,,15.0
2203,2015-03-12,11.8,28.9,0.0,1015.9,,15.8
2204,2015-03-13,14.5,27.6,0.0,1019.6,,16.9
2205,2015-03-14,10.2,29.0,0.0,1019.5,,15.3
2206,2015-03-15,12.7,28.3,0.0,1011.3,,19.8
2207,2015-03-16,10.0,27.9,0.0,1016.7,,14.8
2208,2015-03-17,14.5,29.6,0.0,1011.3,8.0,16.8
2209,2015-03-18,16.6,28.3,2.8,1004.9,,20.1
2210,2015-03-19,12.7,33.6,0.0,1011.9,,16.6
2211,2015-03-20,16.6,26.8,0.0,1013.3,3.0,18.7
2212,2015-03-21,13.2,27.3,0.0,1023.9,,15.8
2213,2015-03-22,10.8,30.7,0.0,1022.7,,16.4
2214,2015-03-23,16.4,31.9,0.0,1013.7,5.0,22.0
2215,2015-03-24,14.5,25.1,0.4,1012.2,2.0,16.1
2216,2015-03-25,7.9,24.6,0.0,1017.3,,13.1
2217,2015-03-26,7.8,19.4,0.0,1019.2,8.0,12.9
2218,2015-03-27,10.3,20.9,0.0,1023.0,,12.2
2219,2015-03-28,5.5,23.9,0.0,1024.4,,10.1
2220,2015-03-29,5.8,25.8,0.0,1023.8,,11.6
2221,2015-03-30,8.6,28.2,0.0,1025.1,7.0,12.5
2222,2015-03-31,9.0,29.4,0.0,1026.6,,13.7
2223,2015-04-01,10.4,29.1,0.0,1023.1,,15.1
2224,2015-04-02,15.1,26.4,0.0,1016.7,8.0,21.3
