Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm)
2020-01-01,2020,1,1,3,-2.5,0.3,17.7,0,0,0,0,1
2020-01-02,2020,1,2,6.5,-3.5,1.5,16.5,0,0,0,0,0
2020-01-03,2020,1,3,7,3,5,13,0,0,4,1.6,0
2020-01-04,2020,1,4,2.5,-0.5,1,17,0,0,0.6,1.4,4
2020-01-05,2020,1,5,1.5,-3.5,-1,19,0,0,5.4,4.8,0
2020-01-06,2020,1,6,2,-2,0,18,0,0,0,0,5
2020-01-07,2020,1,7,4,-7.5,-1.8,19.8,0,0,0.8,0.6,3
2020-01-08,2020,1,8,-3.5,-7,-5.3,23.3,0,0,0,0,3
2020-01-09,2020,1,9,6.5,-13,-3.3,21.3,0,0,0,0,3
2020-01-10,2020,1,10,9.5,-4,2.8,15.2,0,13.8,0,13.8,0
2020-01-11,2020,1,11,12,2.5,7.3,10.7,0,73,0.2,73,0
2020-01-12,2020,1,12,-3,-7,-5,23,0,0,0,0,0
2020-01-13,2020,1,13,1.5,-6,-2.3,20.3,0,0,0,0,0
2020-01-14,2020,1,14,3,-1,1,17,0,0,0,0,0
2020-01-15,2020,1,15,4,-0.5,1.8,16.2,0,0,0,0,0
2020-01-16,2020,1,16,3,-1,1,17,0,0,0.4,0.8,0
2020-01-17,2020,1,17,-5.5,-15.5,-10.5,28.5,0,0,0,0,0
2020-01-18,2020,1,18,2,-10,-4,22,0,0,17,17.6,0
2020-01-19,2020,1,19,-3,-8,-5.5,23.5,0,0,0,0,16
2020-01-20,2020,1,20,-4,-17,-10.5,28.5,0,0,0,0,14
2020-01-21,2020,1,21,-2,-15,-8.5,26.5,0,0,0,0,13
2020-01-22,2020,1,22,1.5,-7.5,-3,21,0,0,0,0,12
2020-01-23,2020,1,23,4,-9.5,-2.8,20.8,0,0,0,0,11
2020-01-24,2020,1,24,4.5,-2,1.3,16.7,0,27,0,27,11
2020-01-25,2020,1,25,3,1,2,16,0,1,0,1.2,6
2020-01-26,2020,1,26,3.5,0,1.8,16.2,0,2.6,0,2.6,4
2020-01-27,2020,1,27,2,-0.5,0.8,17.2,0,0,0,0,2
2020-01-28,2020,1,28,1.5,-1.5,0,18,0,0,0,0,1
2020-01-29,2020,1,29,-2,-8,-5,23,0,0,0,0,0
