Date,Max Temp,Min Temp,Precipitation (mm),Daylight Hours
2018-01-01,13,0.4,0,8.4
2018-01-02,10.8,0.8,0,8.9
2018-01-03,8.6,2.3,0,8.9
2018-01-04,9.6,0,0,8.8
2018-01-05,6.3,0.8,0,0.1
2018-01-06,10.5,-1.4,0,8.5
2018-01-07,11.6,1.2,0,8.5
2018-01-08,9.5,3.2,0.5,0.4
2018-01-09,16,3.3,0.5,5.6
2018-01-10,11.1,3.3,0,9
2018-01-11,10.2,0.8,0,9.1
2018-01-12,7,-1.6,0,8.7
2018-01-13,7.3,-0.8,0,9.1
2018-01-14,8.4,0.4,0,9.3
2018-01-15,12.4,-1.1,0,8.6
2018-01-16,13.7,1.4,0,8.9
2018-01-17,9.1,4.4,2,0
2018-01-18,13.7,3,0,5.7
2018-01-19,11.2,6,0,3.9
2018-01-20,10.1,4.3,0,2.4
2018-01-21,12,2.3,0,9.2
2018-01-22,5.3,-0.5,1,0
2018-01-23,10,-0.7,0,9.2
2018-01-24,7.3,-1.8,0,8
2018-01-25,4,-4,0,9.6
2018-01-26,5.1,-3.1,0,8.3
2018-01-27,7.3,-1.8,0,9.5
2018-01-28,5.5,-0.8,0,1.9
2018-01-29,9.7,-1.9,0,6.4
2018-01-30,6.6,0.8,0,3.7
2018-01-31,9.2,-1,0,7.5
2018-02-01,6.3,0.6,0.5,1.9
2018-02-02,3.8,0.5,0.5,0
2018-02-03,7.8,1.6,0,4.2
2018-02-04,9.8,1.9,0,5
2018-02-05,8.1,0.5,0,7
2018-02-06,8.2,-1.6,0,8.9
2018-02-07,9.1,-1.8,0,9.2
2018-02-08,9.2,-0.7,0,8.8
2018-02-09,9.5,-1.4,0,9.5
2018-02-10,11.9,0.3,1,5.8
2018-02-11,14.9,4.2,0,2.9
2018-02-12,9.7,-0.7,0,9.3
2018-02-13,9.7,-1.2,0,6.9
2018-02-14,11,-0.2,0,9.7
2018-02-15,15.1,5.5,0,8.2
2018-02-16,10,3.4,0,6.1
2018-02-17,12.3,0.6,0,7.3
2018-02-18,9.8,-1.8,0,9.9
2018-02-19,10.7,1.5,0,7
2018-02-20,12.4,3.2,0,9.7
2018-02-21,8.6,3.5,0,0.2
2018-02-22,5.7,1.5,0.5,0
2018-02-23,8.1,1.8,0.5,2
2018-02-24,14.4,0.5,0,9.1
2018-02-25,8.9,2.9,0,0
2018-02-26,10.9,3.9,0,5.8
2018-02-27,12.8,3.9,0,7.2
2018-02-28,14.7,3.3,1,5.7
